Ticker,Date,Cluster
RPD,2019-11-11,3
BPRN,2019-11-04,4
LPTH,2015-07-27,1
DVN,2015-12-07,2
TBLT,2018-12-10,2
KSS,2016-09-12,4
BLNK,2015-08-03,4
VRE,2016-02-22,3
SGMO,2017-09-11,3
ADBE,2018-02-26,4
RLI,2018-04-09,4
ANIP,2015-07-13,4
DELL,2018-03-12,1
EPSN,2019-11-04,4
ORLY,2019-09-23,4
GEOS,2017-11-27,1
BKTI,2018-07-09,2
CELU,2019-12-09,4
AUMN,2019-09-30,4
CENTA,2019-01-28,1
HSII,2016-10-10,4
BXC,2015-08-17,1
SRE,2019-12-09,4
HASI,2019-02-04,4
PFIE,2017-06-19,1
BCDA,2016-08-08,4
OGS,2019-11-04,1
FSP,2020-03-02,2
INFN,2015-06-01,4
COHN,2017-12-11,4
GLPI,2017-10-09,4
TDOC,2017-11-06,1
LEU,2018-07-23,4
OPOF,2016-07-11,4
LFCR,2015-09-14,1
FSK,2020-12-07,1
DMRC,2020-12-07,4
CPS,2019-06-10,1
USAU,2018-08-13,1
LCNB,2016-10-10,1
CFR,2018-07-09,4
CRUS,2019-08-19,1
TPIC,2016-12-12,3
HTLF,2015-02-02,4
FBK,2020-10-12,4
EOLS,2019-08-05,1
UHAL,2020-12-07,4
GD,2019-09-30,1
ELMD,2016-11-28,4
RAMP,2016-06-06,4
GTHX,2019-06-03,1
ARTNA,2017-09-18,4
RPM,2015-10-26,4
KNW,2020-04-13,2
MSGS,2020-04-13,4
WLDN,2018-07-16,1
NYT,2020-11-09,4
THFF,2016-04-04,4
WGO,2018-12-10,4
ORC,2016-10-10,3
AJG,2016-02-29,4
CI,2019-08-05,4
RMBS,2015-08-03,4
ZION,2016-08-22,4
HEPA,2019-07-08,1
GNRC,2016-06-13,1
IPGP,2020-04-20,3
CIM,2018-03-12,4
CABO,2017-11-27,4
AMPH,2015-03-02,3
PEN,2020-04-27,1
AIR,2019-01-07,4
MCO,2019-06-03,3
VFC,2017-03-27,4
TFC,2016-10-24,4
CMS,2019-10-21,4
USDP,2016-06-13,4
CPK,2017-10-23,4
FRHC,2020-02-24,1
HIBB,2016-08-01,4
ORGS,2017-09-25,4
MPC,2017-05-08,4
USEG,2015-04-20,1
CIVI,2018-02-26,1
ZION,2015-07-13,4
NAUT,2020-10-12,1
IAC,2020-12-07,3
TSLA,2019-01-07,4
RKT,2020-11-09,4
